Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 5), (2, 4, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 4, 5), (3, 4, 5))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (0, 4, 5))",5,2,9
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (1, 2, 5))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (1, 4, 5))",5,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 3, 4))",4,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 3, 5))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 4, 5))",5,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 2, 5), (2, 3, 4))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 2, 5), (3, 4, 5))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 3, 4))",3,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 3, 5))",5,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 4, 5))",4,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 4), (2, 3, 5))",4,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 4), (3, 4, 5))",3,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 5), (2, 4, 5))",3,2,7
