Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 4, 5))",5,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4))",4,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 4, 5))",3,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4), (2, 3, 5))",2,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5))",4,3,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5))",5,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5))",5,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (3, 4, 5))",4,2,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5))",5,2,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 3))",6,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 4))",5,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 3, 4))",5,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 3, 5))",4,2,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 4, 5))",4,2,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (3, 4, 5))",3,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 3))",7,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 4))",6,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 4, 5))",6,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 3, 4))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 3, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 4, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 3), (2, 3, 5))",6,2,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 3), (2, 4, 5))",6,1,3
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 4), (2, 3, 5))",6,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 4), (3, 4, 5))",5,1,3
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (1, 3, 5))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (1, 4, 5))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 3, 4))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 3, 5))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 4, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (3, 4, 5))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 3, 4))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 3, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 4, 5))",5,1,5
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 4), (2, 3, 5))",4,2,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 4), (2, 4, 5))",5,1,5
